"Population and migration > Population > Projections > Local authority > 2011-based > Population projections by local authority, variant and year"
""

Filters:
Age: All ages
Gender: Persons

"","","",2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036
"Wales","","",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wales","Isle of Anglesey","",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","","Ten year average migration variant (1)",75293,75508,75726,75953,76186,76426,76669,76918,77171,77429,77683,77933,78176,78409,78629,78832,79017,79185,79336,79472,79587,79689,79775,79849,79910,79961
"","Pembrokeshire","",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Pembrokeshire","Lower variant",122613,122933,123209,123454,123680,123896,124099,124289,124465,124624,124763,124880,124970,125024,125047,125034,124985,124902,124781,124625,124435,124212,123953,123660,123336,122983
"","","Higher variant",122613,122933,123289,123670,124068,124472,124872,125263,125643,126008,126353,126677,126979,127254,127509,127740,127949,128139,128308,128461,128600,128728,128841,128946,129046,129144
"","","Zero migration variant",122613,122580,122558,122550,122559,122579,122602,122626,122650,122669,122680,122680,122668,122639,122596,122534,122452,122354,122239,122108,121962,121800,121620,121422,121210,120986
"","","Ten year average migration variant (1)",122613,123103,123598,124094,124587,125073,125544,125997,126431,126838,127216,127563,127876,128149,128386,128588,128753,128890,128998,129080,129140,129179,129195,129190,129168,129130
"","Carmarthenshire","",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Carmarthenshire","Lower variant",183961,184888,185766,186613,187445,188277,189105,189926,190734,191529,192309,193068,193796,194491,195144,195758,196326,196849,197325,197754,198136,198470,198759,199003,199207,199378
"","","Higher variant",183961,184888,185885,186935,188027,189143,190271,191400,192523,193637,194739,195822,196885,197932,198956,199961,200944,201906,202847,203770,204680,205574,206458,207336,208212,209094
"","","Zero migration variant",183961,183859,183784,183733,183702,183686,183673,183662,183646,183620,183582,183527,183449,183348,183218,183061,182871,182652,182409,182140,181847,181527,181182,180814,180426,180023
"","","Ten year average migration variant (1)",183961,185241,186551,187883,189232,190591,191946,193293,194623,195929,197209,198455,199663,200830,201953,203033,204068,205063,206024,206952,207851,208719,209561,210377,211174,211955
"","Swansea","",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Swansea","Lower variant",238691,239936,241111,242247,243367,244495,245628,246759,247886,249015,250144,251271,252385,253474,254537,255569,256565,257525,258443,259314,260138,260920,261657,262346,262992,263595
"","","Higher variant",238691,239936,241271,242678,244142,245646,247175,248714,250258,251807,253358,254910,256460,258005,259544,261075,262594,264102,265594,267071,268535,269991,271439,272878,274314,275752
"","","Zero migration variant",238691,239022,239392,239802,240245,240713,241187,241652,242093,242504,242873,243193,243451,243632,243733,243751,243684,243542,243334,243062,242734,242362,241949,241500,241023,240523
"","","Ten year average migration variant (1)",238691,240049,241454,242904,244394,245919,247466,249026,250591,252158,253723,255282,256828,258347,259839,261300,262725,264121,265491,266832,268147,269442,270713,271962,273191,274404
"","Neath Port Talbot","",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Neath Port Talbot","Lower variant",139880,140081,140235,140360,140471,140577,140677,140760,140827,140877,140909,140918,140905,140865,140798,140701,140574,140415,140223,140000,139748,139467,139159,138822,138460,138074
"","","Higher variant",139880,140081,140333,140626,140947,141283,141621,141950,142265,142564,142846,143107,143351,143581,143797,143999,144186,144358,144515,144662,144801,144937,145071,145205,145344,145488
"","","Zero migration variant",139880,139890,139913,139950,139998,140050,140100,140136,140157,140161,140146,140111,140056,139982,139887,139770,139632,139472,139294,139098,138888,138665,138429,138180,137921,137652
"","","Ten year average migration variant (1)",139880,140393,140928,141480,142047,142621,143192,143750,144291,144811,145309,145780,146227,146647,147041,147409,147749,148064,148358,148634,148896,149147,149386,149616,149839,150055
"","Bridgend","",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Bridgend","Lower variant",139410,140141,140796,141401,141972,142524,143058,143565,144050,144511,144943,145344,145711,146043,146334,146580,146786,146950,147073,147155,147199,147211,147192,147141,147056,146937
"","","Higher variant",139410,140141,140898,141675,142461,143247,144024,144779,145516,146230,146916,147573,148202,148809,149387,149936,150461,150961,151438,151897,152343,152783,153219,153656,154092,154527
"","","Zero migration variant",139410,139696,139981,140272,140565,140856,141136,141400,141650,141881,142088,142269,142426,142561,142668,142746,142797,142821,142827,142813,142783,142740,142686,142620,142542,142449
"","","Ten year average migration variant (1)",139410,140240,141072,141906,142740,143570,144388,145186,145965,146717,147439,148125,148776,149391,149966,150498,150993,151452,151882,152285,152668,153034,153389,153732,154062,154378
"","The Vale of Glamorgan","",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","The Vale of Glamorgan","Lower variant",126679,127138,127541,127905,128243,128566,128877,129175,129459,129729,129984,130223,130444,130646,130828,130983,131110,131206,131269,131297,131284,131231,131141,131013,130851,130653
"","","Higher variant",126679,127138,127620,128117,128622,129127,129627,130119,130600,131068,131522,131961,132387,132804,133211,133606,133986,134350,134696,135024,135331,135619,135889,136147,136395,136632
"","","Zero migration variant",126679,126920,127156,127392,127627,127859,128081,128294,128496,128686,128863,129029,129183,129328,129464,129586,129689,129776,129846,129897,129921,129919,129890,129836,129757,129651
"","","Ten year average migration variant (1)",126679,127383,128087,128791,129493,130190,130878,131556,132219,132865,133490,134094,134676,135235,135771,136281,136762,137216,137645,138048,138421,138768,139089,139388,139668,139926
"","Cardiff","",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Cardiff","Lower variant",345442,349536,353526,357479,361438,365433,369464,373527,377625,381770,385973,390225,394517,398842,403185,407533,411875,416194,420479,424719,428911,433046,437129,441158,445133,449062
"","","Higher variant",345442,349536,353802,358221,362767,367401,372099,376842,381627,386458,391340,396268,401246,406281,411362,416478,421618,426769,431922,437076,442230,447382,452537,457697,462869,468060
"","","Zero migration variant",345442,347578,349782,352072,354436,356843,359265,361675,364051,366376,368637,370798,372821,374670,376315,377742,378946,379934,380731,381357,381846,382219,382505,382724,382896,383041
"","","Ten year average migration variant (1)",345442,349226,353099,357072,361141,365283,369479,373721,378003,382324,386687,391084,395504,399940,404377,408803,413204,417581,421937,426267,430573,434851,439106,443339,447553,451756
"","Rhondda, Cynon, Taf","",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Rhondda, Cynon, Taf","Lower variant",234373,234648,234812,234901,234947,234973,234977,234956,234905,234825,234717,234574,234391,234167,233896,233581,233220,232815,232365,231868,231329,230745,230117,229448,228744,228003
"","","Higher variant",234373,234648,234992,235391,235826,236275,236721,237150,237556,237935,238287,238605,238894,239162,239405,239628,239832,240020,240192,240352,240508,240659,240808,240961,241125,241299
"","","Zero migration variant",234373,234876,235393,235924,236463,236999,237519,238014,238476,238894,239271,239597,239873,240098,240271,240394,240469,240506,240511,240487,240440,240373,240285,240181,240067,239941
"","","Ten year average migration variant (1)",234373,235084,235822,236584,237368,238162,238952,239731,240488,241215,241912,242571,243190,243768,244303,244795,245246,245664,246055,246420,246767,247095,247406,247703,247994,248276
"","Merthyr Tydfil","",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Merthyr Tydfil","Lower variant",58851,59079,59286,59479,59663,59844,60020,60185,60340,60485,60615,60729,60827,60909,60975,61023,61052,61066,61062,61041,61003,60949,60882,60800,60705,60596
"","","Higher variant",58851,59079,59332,59604,59890,60180,60469,60750,61020,61281,61526,61755,61968,62170,62361,62540,62707,62864,63013,63152,63285,63413,63539,63663,63787,63912
"","","Zero migration variant",58851,59002,59158,59318,59481,59641,59793,59933,60059,60173,60268,60345,60404,60447,60476,60489,60488,60476,60455,60425,60387,60342,60294,60240,60182,60120
"","","Ten year average migration variant (1)",58851,58971,59099,59233,59370,59504,59632,59747,59848,59933,59998,60041,60063,60066,60051,60017,59964,59896,59816,59724,59622,59511,59395,59272,59143,59010
"","Caerphilly","",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Caerphilly","Lower variant",178782,179212,179561,179854,180108,180338,180542,180717,180858,180969,181043,181081,181081,181036,180945,180813,180638,180420,180155,179843,179486,179081,178631,178136,177595,177011
"","","Higher variant",178782,179212,179693,180212,180751,181292,181820,182324,182798,183241,183647,184018,184357,184665,184945,185201,185435,185647,185836,186002,186153,186285,186404,186512,186612,186708
"","","Zero migration variant",178782,179241,179706,180175,180644,181103,181540,181952,182332,182677,182984,183254,183488,183684,183842,183969,184066,184136,184182,184201,184199,184172,184123,184051,183958,183844
"","","Ten year average migration variant (1)",178782,179292,179811,180336,180860,181374,181867,182332,182763,183154,183502,183805,184064,184276,184441,184566,184649,184696,184711,184692,184647,184572,184472,184348,184200,184032
"","Blaenau Gwent","",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Blaenau Gwent","Lower variant",69812,69684,69542,69388,69233,69076,68919,68755,68583,68402,68210,68004,67780,67538,67277,66999,66701,66384,66048,65692,65318,64926,64516,64093,63658,63211
"","","Higher variant",69812,69684,69591,69522,69475,69436,69403,69364,69319,69265,69199,69119,69024,68915,68793,68660,68515,68358,68191,68013,67827,67633,67433,67233,67033,66836
"","","Zero migration variant",69812,69769,69743,69729,69727,69729,69734,69733,69724,69705,69673,69626,69564,69486,69394,69286,69164,69027,68878,68718,68545,68363,68171,67973,67770,67565
"","","Ten year average migration variant (1)",69812,69711,69625,69549,69483,69418,69352,69277,69192,69092,68976,68841,68686,68510,68314,68100,67868,67618,67354,67075,66782,66478,66163,65841,65513,65181
"","Torfaen","",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Torfaen","Lower variant",91190,91326,91428,91510,91582,91650,91711,91761,91801,91831,91847,91843,91821,91774,91706,91614,91498,91359,91193,91002,90789,90554,90300,90027,89739,89433
"","","Higher variant",91190,91326,91497,91698,91921,92153,92387,92613,92832,93039,93231,93402,93559,93697,93820,93928,94023,94104,94169,94222,94268,94309,94347,94385,94428,94475
"","","Zero migration variant",91190,91376,91574,91788,92013,92243,92470,92690,92903,93105,93293,93461,93614,93743,93855,93947,94020,94076,94114,94137,94146,94143,94131,94108,94081,94044
"","","Ten year average migration variant (1)",91190,91298,91418,91549,91687,91827,91960,92083,92192,92283,92354,92397,92417,92407,92372,92310,92223,92114,91982,91832,91666,91487,91297,91098,90893,90680
"","Monmouthshire","",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Monmouthshire","Lower variant",91508,91624,91704,91755,91788,91811,91821,91822,91813,91795,91767,91726,91670,91594,91496,91375,91228,91054,90847,90608,90333,90023,89676,89293,88877,88433
"","","Higher variant",91508,91624,91750,91877,92006,92134,92255,92372,92482,92585,92680,92766,92841,92903,92951,92985,93004,93005,92986,92947,92885,92804,92700,92576,92437,92285
"","","Zero migration variant",91508,91429,91347,91262,91180,91101,91021,90944,90869,90795,90725,90660,90599,90538,90476,90413,90344,90266,90177,90069,89940,89789,89612,89408,89179,88928
"","","Ten year average migration variant (1)",91508,91805,92099,92385,92666,92942,93208,93466,93713,93948,94170,94377,94565,94731,94875,94996,95092,95164,95210,95231,95223,95188,95125,95034,94920,94787
"","Newport","",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Newport","Lower variant",145785,146690,147551,148391,149229,150079,150943,151813,152693,153582,154474,155368,156263,157150,158027,158889,159729,160551,161353,162135,162894,163628,164337,165022,165684,166330
"","","Higher variant",145785,146690,147671,148718,149819,150956,152121,153300,154493,155696,156900,158105,159314,160526,161741,162953,164159,165361,166560,167757,168954,170152,171349,172552,173764,174991
"","","Zero migration variant",145785,146400,147028,147667,148315,148964,149607,150235,150849,151443,152009,152548,153060,153540,153991,154409,154793,155152,155493,155818,156127,156422,156701,156970,157227,157479
"","","Ten year average migration variant (1)",145785,146602,147453,148337,149249,150182,151129,152079,153032,153981,154917,155839,156746,157633,158498,159338,160148,160937,161713,162476,163226,163967,164695,165417,166134,166850



Footnotes:
"1"," A minor revision to the ten year average migration model was made in December 2013."
"Variant","Four alternative variations on the principal population projections are made, one based on an assumed high level of migration, one on an assumed  low level of migration, one with zero migration and one based on an average of the last ten years of migration (as opposed to five years used in the calculation of the principal projection)."
".","The data item is not applicable."
Metadata:
"Title","Variant 2011-based local authority population projections for Wales, 2011 to 2036"
"Author","Welsh Government"
"Notes 1","Last update: September 2013
Was added to StatsWales: September 2013

Next update: Will be replaced by a future projection
Will be added to StatsWales: Will be replaced by a future projection

Source: 2011-based projections for local authorities in Wales, Welsh Government
Contact: stats.popcensus@wales.gsi.gov.uk/ ystadegau.poblogaeth@cymru.gsi.gov.uk

This dataset provides variant population projections for local authorities in Wales by gender, single year of age and each year from the base year of 2011, through the projection period to 2036.  The principal projections (available in another dataset in the same area of StatsWales) are based on an assumed pattern of migration based on projecting forward the average migration patterns over the last five years.  These four migration variants cover different migration scenarios, ranging from a zero migration estimate, to a low estimate, to a high estimate.  A further variant is based on projecting forward the average migration patterns over the last ten years (as opposed to the five year average used in the principal projections).  This is the third set of population projections published for the 22 local authorities in Wales, but the first set to take into account the results of the 2011 Census.

Population projections provide estimates of the size of the future population, and are based on assumptions about births, deaths and migration. The assumptions are based on past trends. Projections only indicate what may happen should the recent trends continue. Projections done in this way do not make allowances for the effects of local or central government policies on future population levels, distribution and change.

The 2011 population estimates have been used as the base for the local authority projections. The projected population is for 30 June each year. The base population estimates are based on the usually resident population. Usual residents away from home temporarily are included, but visitors are excluded. Students are counted at their term-time address. It should also be noted that the UN definition of an international migrant is used - those changing country of residence for a period of at least 12 months. Short-term migrants (eg migrant workers from Eastern European countries) are not counted in the population estimates and hence are not included in the population projections.

The principal projections (available in another dataset in the same area of StatsWales) are based on an assumed pattern of migration based on projecting forward the average migration patterns over the last five years.

These four migration variants cover different migration scenarios, ranging from a zero migration estimate, to a low estimate, to a high estimate.  A further variant is based on projecting forward the average migration patterns over the last ten years (as opposed to the five year average used in the principal projections).

Data are rounded independently to the nearest whole number and may not add exactly.

Note that the projections become increasingly uncertain the further we try to look into the future.

Also note that these figures differ from the Wales data in the national population projections produced by the Office for National Statistics because the key aim of the local authority population projections is to produce robust local authority population projections for Wales, which reflect local trends in recent years while the main purpose of the national projections is to produce robust population projections for Wales which reflect national trends in recent years.

The national projections and the local authority projections are different for two main reasons:
1. The methodology used to produce assumptions in the local authority projections are different to those used in the national projections. Some of these are due to slightly different data sources.
"
"Notes 2","2. The geographical level for which the assumptions are based and applied is also important. For example, it is not appropriate to sum local rates (eg fertility) to derive a national rate, and therefore a model operating at different geographic levels (but using rates) will produce different results for the different geographic levels.

For further information please see the local authority population projections statistical release: http://wales.gov.uk/statistics-and-research/local-authority-population-projections/?lang=en.

National projections can be found here:
http://www.ons.gov.uk/ons/rel/npp/national-population-projections/2012-based-reference-volume--series-pp2/index.html.
"
"Keywords","Population projections; growth"
